Match,Match Notes
"1st Test, ICC World Test Championship at Birmingham, Aug 1-5 2019","Over 12.6: Review by England (Batting), Umpire - JS Wilson, Batsman - JE Root (Upheld)"
"1st Test, ICC World Test Championship at Birmingham, Aug 1-5 2019","Over 16.4: Review by England (Batting), Umpire - JS Wilson, Batsman - JE Root (Upheld)"
"1st Test, ICC World Test Championship at Birmingham, Aug 1-5 2019","Over 25.5: Review by England (Batting), Umpire - Aleem Dar, Batsman - JL Denly (Struck down)"
"1st Test, ICC World Test Championship at Birmingham, Aug 1-5 2019","Over 28.5: Review by Australia (Bowling), Umpire - JS Wilson, Batsman - JC Buttler (Struck down - Umpires Call)"
"1st Test, ICC World Test Championship at Birmingham, Aug 1-5 2019","Over 36.6: Review by England (Batting), Umpire - JS Wilson, Batsman - JM Bairstow (Struck down)"
"1st Test, ICC World Test Championship at Birmingham, Aug 1-5 2019","Over 44.4: Review by Australia (Bowling), Umpire - JS Wilson, Batsman - MM Ali (Struck down)"
"1st Test, ICC World Test Championship at Birmingham, Aug 1-5 2019","Over 74.5: Review by England (Bowling), Umpire - JS Wilson, Batsman - SPD Smith (Struck down)"
"1st Test, ICC World Test Championship at Birmingham, Aug 1-5 2019","Over 84.2: Review by Australia (Batting), Umpire - JS Wilson, Batsman - MS Wade (Upheld)"
"1st Test, ICC World Test Championship at Birmingham, Aug 1-5 2019","Over 97.6: Review by England (Bowling), Umpire - Aleem Dar, Batsman - TD Paine (Struck down)"
"1st Test, ICC World Test Championship at Birmingham, Aug 1-5 2019","Over 2.6: Review by England (Bowling), Umpire - JS Wilson, Batsman - DA Warner (Upheld)"
"1st Test, ICC World Test Championship at Birmingham, Aug 1-5 2019","Over 20.6: Review by England (Batting), Umpire - JS Wilson, Batsman - JE Root (Upheld)"
"1st Test, ICC World Test Championship at Birmingham, Aug 1-5 2019","Over 33.2: Review by England (Batting), Umpire - Aleem Dar, Batsman - JE Root (Upheld)"
"1st Test, ICC World Test Championship at Birmingham, Aug 1-5 2019","Over 82.2: Review by Australia (Bowling), Umpire - JS Wilson, Batsman - RJ Burns (Struck down)"
"1st Test, ICC World Test Championship at Birmingham, Aug 1-5 2019","Over 3.1: Review by England (Bowling), Umpire - Aleem Dar, Batsman - DA Warner (Struck down)"
"1st Test, ICC World Test Championship at Birmingham, Aug 1-5 2019","Over 14.2: Review by England (Bowling), Umpire - JS Wilson, Batsman - UT Khawaja (Upheld)"
"1st Test, ICC World Test Championship at Birmingham, Aug 1-5 2019","Over 32.4: Review by Australia (Batting), Umpire - JS Wilson, Batsman - TM Head (Struck down)"
"1st Test, ICC World Test Championship at Birmingham, Aug 1-5 2019","Over 33.5: Review by Australia (Batting), Umpire - Aleem Dar, Batsman - SPD Smith (Upheld)"
"1st Test, ICC World Test Championship at Birmingham, Aug 1-5 2019","Over 34.6: Review by England (Bowling), Umpire - JS Wilson, Batsman - MS Wade (Upheld)"
"1st Test, ICC World Test Championship at Birmingham, Aug 1-5 2019","Over 46.1: Review by Australia (Batting), Umpire - JS Wilson, Batsman - PM Siddle (Upheld)"
"1st Test, ICC World Test Championship at Birmingham, Aug 1-5 2019","Over 74.2: Review by England (Bowling), Umpire - JS Wilson, Batsman - NM Lyon (Struck down)"
"1st Test, ICC World Test Championship at Galle, Aug 14-18 2019","Over 60.2: Review by New Zealand (Bowling), Umpire - RK Illingworth, Batsman - HDRL Thirimanne (Upheld)"
"1st Test, ICC World Test Championship at Galle, Aug 14-18 2019","Over 77.5: Review by Sri Lanka (Batting), Umpire - MA Gough, Batsman - MDKJ Perera (Struck down - Umpires Call)"
"1st Test, ICC World Test Championship at Galle, Aug 14-18 2019","Over 79.4: Review by New Zealand (Bowling), Umpire - MA Gough, Batsman - MDKJ Perera (Struck down)"
"1st Test, ICC World Test Championship at Galle, Aug 14-18 2019","Over 103.2: Review by Sri Lanka (Bowling), Umpire - MA Gough, Batsman - AY Patel (Struck down)"
"1st Test, ICC World Test Championship at Galle, Aug 14-18 2019","Over 105.6: Review by New Zealand (Batting), Umpire - MA Gough, Batsman - AY Patel (Struck down)"
"1st Test, ICC World Test Championship at Galle, Aug 14-18 2019","Over 88.5: Review by New Zealand (Bowling), Umpire - MA Gough, Batsman - L Embuldeniya (Struck down)"
"1st Test, ICC World Test Championship at Galle, Aug 14-18 2019","Over 93.2: Review by Sri Lanka (Batting), Umpire - RK Illingworth, Batsman - L Embuldeniya (Struck down)"
"1st Test, ICC World Test Championship at Galle, Aug 14-18 2019","Over 30.2: Review by New Zealand (Batting), Umpire - RK Illingworth, Batsman - BJ Watling (Upheld)"
"1st Test, ICC World Test Championship at Galle, Aug 14-18 2019","Over 61.6: Review by Sri Lanka (Bowling), Umpire - MA Gough, Batsman - BJ Watling (Struck down)"
"1st Test, ICC World Test Championship at Galle, Aug 14-18 2019","Over 78.5: Review by New Zealand (Batting), Umpire - RK Illingworth, Batsman - WER Somerville (Upheld)"
"1st Test, ICC World Test Championship at Galle, Aug 14-18 2019","Over 83.2: Review by New Zealand (Batting), Umpire - MA Gough, Batsman - AY Patel (Struck down - Umpires Call)"
"1st Test, ICC World Test Championship at Galle, Aug 14-18 2019","Over 27.1: Review by New Zealand (Bowling), Umpire - RK Illingworth, Batsman - BKG Mendis (Struck down)"
"1st Test, ICC World Test Championship at Galle, Aug 14-18 2019","Over 59.4: Review by Sri Lanka (Batting), Umpire - RK Illingworth, Batsman - RAS Lakmal (Upheld)"
"1st Test, ICC World Test Championship at Galle, Aug 14-18 2019","Over 58.2: Review by New Zealand (Batting), Umpire - RK Illingworth, Batsman - HM Nicholls (Struck down)"
