innings,Over,Commentary,active_partnership,reviews,Review_team,Review_batsman,Review_umpire,Review_outcome,Umpires_call,index,Partnership_broken,match,innings_action,overturned,review_lost,first_review_lost,second_review_lost
India 1st innings,115.2,"Holder to Hanuma Vihari, no run, he's given out, and Jason Holder has a 5-wicket haul until the end of this review at least. Seaming back in from outside off, beating the inside edge on the backfoot nudge into the on-side. Going over the top of leg-stump! The umpire has to reverse his decision, and Holder is denied his third consecutive five-for at Jamaica - for now.",8,"Over 115.2: Review by India (Batting), Umpire - PR Reiffel, Batsman - GH Vihari (Upheld)",India (Batting),GH Vihari,PR Reiffel,Upheld,False,9.0,False,wi-vs-ind-2nd-test-india-tour-of-west-indies-2019,Batting,True,False,,
India 1st innings,61.3,"Roach to Hanuma Vihari, leg byes, 1 run, horrible review from Roach. West Indies have lost both their reviews now. Angled in and Vihari falls over as he misses the flick, struck him around leg-stump and the angle was taking it further down. Holder gestured it was going down but Roach was adamant that it was close",5,"Over 61.3: Review by West Indies (Bowling), Umpire - PR Reiffel, Batsman - GH Vihari (Struck down)",West Indies (Bowling),GH Vihari,PR Reiffel,Struck down,False,8.0,False,wi-vs-ind-2nd-test-india-tour-of-west-indies-2019,Bowling,False,True,False,True
India 1st innings,39.1,"Roach to Agarwal, no run, gone! Is he? Agarwal reviews! Seams away from the inward angle, trapped on the backfoot, is Agarwal, as he pokes away from the body. There's some bat-on-pad action. Yep, easily missing the bat, and the third umpire is convinced - the umpire has to revise his decision to NOT OUT!",3,"Over 39.1: Review by India (Batting), Umpire - PR Reiffel, Batsman - MA Agarwal (Upheld)",India (Batting),MA Agarwal,PR Reiffel,Upheld,False,5.0,False,wi-vs-ind-2nd-test-india-tour-of-west-indies-2019,Batting,True,False,,
India 1st innings,20.3,"Cornwall to Kohli, no run, a huge lbw appeal and it's been turned down! West Indies have decided to challenge the onfield call, after all it's the Indian skipper. This looks close but it could be probably spinning down the leg side. Huge amount of spin and Kohli gets beaten due to the same on his flick. Nothing on UltraEdge, the impact is in line and it's missing the leg stump by a huge margin. Could have probably hit the sixth stump, if there was one. So, West Indies have lost one review and Kohli still has the chance to open his account",3,"Over 20.3: Review by West Indies (Bowling), Umpire - RA Kettleborough, Batsman - V Kohli (Struck down)",West Indies (Bowling),V Kohli,RA Kettleborough,Struck down,False,0.0,False,wi-vs-ind-2nd-test-india-tour-of-west-indies-2019,Bowling,False,True,True,False
India 2nd innings,4.6,"Roach to Agarwal, out Lbw! Looks like he's gone! Agarwal goes for a review. That seamed back in rather sharply and struck him fairly low. Not a no-ball. Scrambled-seamer, seaming back in, beating the hopping batsman on the bottom-handed defence and it's umpire's call on hitting - clipping the top of middle and leg! A forlorn Agarwal trudges back to the pavilion as West Indies draw first blood. Agarwal lbw b Roach 4(15) [4s-1]",1,"Over 4.6: Review by India (Batting), Umpire - RA Kettleborough, Batsman - MA Agarwal (Struck down - Umpires Call)",India (Batting),MA Agarwal,RA Kettleborough,Struck down - Umpires Call,True,2.0,True,wi-vs-ind-2nd-test-india-tour-of-west-indies-2019,Batting,False,False,,
India 2nd innings,27.4,"Cornwall to Rahane, no run, reviewed for the sake of it. Cornwall was not convinced. He didn't even appeal but Hamilton was and Holder went with his keeper's word. Rahane jumps out of the crease and is defeated by the turn in, beaten on the inside edge and the ball pops up off the flap of the pad, Hamilton hangs on to the ball and goes up immediately",4,"Over 27.4: Review by West Indies (Bowling), Umpire - PR Reiffel, Batsman - AM Rahane (Struck down)",West Indies (Bowling),AM Rahane,PR Reiffel,Struck down,False,6.0,False,wi-vs-ind-2nd-test-india-tour-of-west-indies-2019,Bowling,False,True,True,False
West Indies 2nd innings,22.5,"Ishant to Roston Chase, no run, that's hooped back in at Chase who's clearly staggered. He was prepared to leave it, saw it bend in sharply and made a belated, albeit unsuccessful attempt to keep it from hitting the front pad. Huge shout from India. Umpire Kettleborough says no. Not much hesitation from Kohli in going for the review, but ball-tracking has it going over the stumps. Even the impact was umpire's call on off stump",3,"Over 22.5: Review by India (Bowling), Umpire - RA Kettleborough, Batsman - RL Chase (Struck down)",India (Bowling),RL Chase,RA Kettleborough,Struck down,False,3.0,False,wi-vs-ind-2nd-test-india-tour-of-west-indies-2019,Bowling,False,True,True,False
West Indies 1st innings,44.2,"Ishant to Roach, no run, another sharp bouncer outside off, good carry on it, Roach tries to fend it away, but gets beaten due to the bounce. Pant was up in a caught behind appeal and the Indians have used up a review too. But replays show there was daylight when the ball whizzed past his gloves. India have lost one review - one remaining",9,"Over 44.2: Review by India (Bowling), Umpire - PR Reiffel, Batsman - KAJ Roach (Struck down)",India (Bowling),KAJ Roach,PR Reiffel,Struck down,False,1.0,False,wi-vs-ind-2nd-test-india-tour-of-west-indies-2019,Bowling,False,True,True,False
West Indies 2nd innings,20.4,"Ishant to Roach, no run, Roach has been given OUT LBW and he wants a review. It's a fair delivery and think there's no bat on that, but is it sailing over the stumps? UltraEdge confirms that there's no edge and it's indeed going over the top. NOT OUT it is. Ishant shortened his length and gets it to hold its line around off, Roach shuffled across, was on his toes as he looked to clip and missed, struck high on the thigh-pad",10,"Over 20.4: Review by West Indies (Batting), Umpire - RA Kettleborough, Batsman - KAJ Roach (Upheld)",West Indies (Batting),KAJ Roach,RA Kettleborough,Upheld,False,9.0,False,wi-vs-ind-1st-test-india-tour-of-west-indies-2019,Batting,True,False,,
West Indies 2nd innings,15.5,"Bumrah to Roach, no run, loud shout for LBW and India have decided to review. was it swinging down leg? Was it high? It's a fair delivery and it has hit Roach above the knee-roll, almost around the flap of the pad, no bat and UltraEdge confirms it, sliding past leg-stump and India lose a review. An optimistic review from India, but you wouldn't blamce them too much. On a good length and kept coming with the angle, Roach was pushing forward in defence and is beaten on the inside edge, struck him in front of leg and that was always sliding down",8,"Over 15.5: Review by India (Bowling), Umpire - RJ Tucker, Batsman - KAJ Roach (Struck down)",India (Bowling),KAJ Roach,RJ Tucker,Struck down,False,7.0,False,wi-vs-ind-1st-test-india-tour-of-west-indies-2019,Bowling,False,True,False,True
