innings,Over,Commentary,active_partnership,reviews,Review_team,Review_batsman,Review_umpire,Review_outcome,Umpires_call,Partnership_broken,match
England 2nd innings,52.3,"Pat Cummins to Woakes, out Caught by Smith!! There goes England's fortress -- in Paine's words, the sixteenth most intimidating ground in the world, and in poetic justice, it is Steven Smith who grabs the last word. Cummins has his fourth, banging it in short. And Woakes has clearly unearthed a big visible chink in his batting armoury, messing up yet another short delivery. It stuck in the pitch, spat in awkwardly and then fended up off the fending gloves to second slip. Yes, HE's waiting there .. Woakes c Smith b Pat Cummins 37(54) [4s-7]",10,,,,,,,,"ENG vs AUS, 1st Test, The Ashes 2019"
England 2nd innings,52.2,"Pat Cummins to Woakes, no run, quite an ugly pull, reminiscent of what he did to a short one in the first innings, pulling from in front of his face with his eyes closed",10,,,,,,,,"ENG vs AUS, 1st Test, The Ashes 2019"
England 2nd innings,52.1,"Pat Cummins to Woakes, no run, tummy-lined. Woakes swats it away, no-fuss, fine leg",10,,,,,,,,"ENG vs AUS, 1st Test, The Ashes 2019"
England 2nd innings,51.6,"Lyon to Anderson, FOUR, talk about this safe edging technique. Anderson defends, the spin gets big, takes the outside edge, and ensures it flies just wide of second slip - Smith, again ..",10,,,,,,,,"ENG vs AUS, 1st Test, The Ashes 2019"
England 2nd innings,51.5,"Lyon to Woakes, 1 run, another dance down, this time managing to whip it safely into mid-wicket. Okay Jimmy, one ball ..",10,,,,,,,,"ENG vs AUS, 1st Test, The Ashes 2019"
England 2nd innings,51.4,"Lyon to Woakes, no run, quite a scooter off the pitch, sneaking under Woakes' already-cramped-cut",10,,,,,,,,"ENG vs AUS, 1st Test, The Ashes 2019"
England 2nd innings,51.3,"Lyon to Woakes, no run, walks down, closes out the spin as he flicks with it to mid-wicket",10,,,,,,,,"ENG vs AUS, 1st Test, The Ashes 2019"
England 2nd innings,51.2,"Lyon to Woakes, no run, whipped away hard, comfortably to short leg's right. It's never a chance when Bancroft cannot get to it",10,,,,,,,,"ENG vs AUS, 1st Test, The Ashes 2019"
England 2nd innings,51.1,"Lyon to Woakes, no run, floats it up on off, gets patience",10,,,,,,,,"ENG vs AUS, 1st Test, The Ashes 2019"
England 2nd innings,50.6,"Siddle to Woakes, 1 run, 83.6mph, walks across, cleverly guiding it backward of point to keep his strike",10,,,,,,,,"ENG vs AUS, 1st Test, The Ashes 2019"
England 2nd innings,50.5,"Siddle to Woakes, FOUR, dropped. It was a wild slash, it was a thick edge flying quickly to second slip's left, but no, Steven Smith isn't all that good. He's rather slow to react, his knee getting stuck and only managing a deflecting palm",10,,,,,,,,"ENG vs AUS, 1st Test, The Ashes 2019"
England 2nd innings,50.4,"Siddle to Woakes, no run, 84mph, tighter on middle, but just not quick enough to trouble a blocking Woakes",10,,,,,,,,"ENG vs AUS, 1st Test, The Ashes 2019"
England 2nd innings,50.3,"Siddle to Woakes, no run, 81.1mph, jumps behind, adjusting to the skiddy bounce",10,,,,,,,,"ENG vs AUS, 1st Test, The Ashes 2019"
England 2nd innings,50.2,"Siddle to Woakes, no run, 84mph, full, tailing into middle, squeezed back down the pitch",10,,,,,,,,"ENG vs AUS, 1st Test, The Ashes 2019"
England 2nd innings,50.1,"Siddle to Woakes, no run, 82.9mph, beaten again. Wobbly-seamed, in the channel and yet another Woakes flirt isn't good enough to get close and get the nick",10,,,,,,,,"ENG vs AUS, 1st Test, The Ashes 2019"
England 2nd innings,49.6,"Lyon to Anderson, no run, squared up defence, but neatly controlled once again for the outside half to go down before it goes to gully",10,,,,,,,,"ENG vs AUS, 1st Test, The Ashes 2019"
England 2nd innings,49.5,"Lyon to Anderson, no run, softens the block, on the bounce to a silly point who's almost into his face",10,,,,,,,,"ENG vs AUS, 1st Test, The Ashes 2019"
England 2nd innings,49.4,"Lyon to Anderson, no run, sligtly slingier with the arm, but Anderson's dead-batting them rather well",10,,,,,,,,"ENG vs AUS, 1st Test, The Ashes 2019"
England 2nd innings,49.3,"Lyon to Anderson, no run, back deep in the crease, punchy with his defence",10,,,,,,,,"ENG vs AUS, 1st Test, The Ashes 2019"
England 2nd innings,49.2,"Lyon to Anderson, no run, middle-lined. Anderson would prefer keeping these out",10,,,,,,,,"ENG vs AUS, 1st Test, The Ashes 2019"
England 2nd innings,49.1,"Lyon to Anderson, no run, decent enough forward plonk, and a crisp-sounding smother",10,,,,,,,,"ENG vs AUS, 1st Test, The Ashes 2019"
England 2nd innings,48.6,"Siddle to Woakes, no run, 86.1mph, and he quickly realizes the uselessness of wanting quick singles with Anderson and his dodgy calf - dabbing it away to gully, and letting him deal with Lyon",10,,,,,,,,"ENG vs AUS, 1st Test, The Ashes 2019"
England 2nd innings,48.5,"Siddle to Woakes, no run, 85.5mph, really full. Woakes isn't looking for quick singles here one bit .. happily blocking it out",10,,,,,,,,"ENG vs AUS, 1st Test, The Ashes 2019"
