title,paragraphs
2009 Angsi D Dev CLO (Final).pdf,"Closeout Evaluation of the Angsi-D Development Project Independent Project Analysis, Incorporated Level 1, 56 Burgundy Street Heidelberg, Victoria, 3084 Australia     +61-3-9458-7300 Fax: +61-3-9458-7399  www.IPAglobal.com Prepared by Trung Ghi and Edith Jimenez Reviewed by Randall Monk Edited by Anna Hurley File No. PET-0906-CLO FINAL A CLOSEOUT EVALUATION OF THE ANGSI-D DEVELOPMENT PROJECT Prepared for Petronas Carigali September 2009 CONFIDENTIAL DOCUMENT"
2009 Angsi D Dev CLO (Final).pdf,"This document is the proprietary property of Independent Project Analysis, Inc., which retains all copyright and other ownership rights in its contents. Information about the subject matter, content, and structure of this document is confidential and proprietary. Neither this document nor any such information may be disclosed to any third party without the prior written consent of IPA except as expressly provided by the contract between IPA and Petronas.  "
2009 Angsi D Dev CLO (Final).pdf,CONFIDENTIAL ii IPA PREFACE
2009 Angsi D Dev CLO (Final).pdf,"This evaluation of the Angsi-D Development Project compares the project’s performance with that of similar projects in Industry and with Petronas’ average performance. As the project facilities scope is complete, we also compare the project facilities’ actual performance with the estimates provided at sanction. To supply industry benchmarks, we used IPA’s Upstream "
2009 Angsi D Dev CLO (Final).pdf,"Project Evaluation System (PES®)1 models. Based on this analysis, research, and input from the  project team, we also provide lessons learned that can be used to improve future project  performance in Petronas. This report establishes the final benchmarks for the Angsi-D"
2009 Angsi D Dev CLO (Final).pdf,"Development Project facilities. The drilling has not been completed, and the actual metrics are based on the forecasted estimate of the campaign. IPA did not conduct a prospective (pre-sanction) evaluation of this project, and the assessment of the project drivers was based on the team’s assessment of the level of preparedness in November 2007, when the Angsi-D "
2009 Angsi D Dev CLO (Final).pdf,Development Project was sanctioned.
2009 Angsi D Dev CLO (Final).pdf,"The UPES database contains information on more than 1,000 projects conducted by more than 35 companies over the past 25 years. From this large database, we selected projects that are comparable to the Angsi-D Development Project. Using these comparison databases, we present benchmarks that reflect the performance of industry of today. We also used "
2009 Angsi D Dev CLO (Final).pdf,Upstream Cost Engineering Committee (UCEC2) data to further our analysis of the project and  to provide additional clarity to the project’s performance.
2009 Angsi D Dev CLO (Final).pdf,We measured the project’s performance in the following areas: • Project Drivers – Practices employed in the project definition phase that drove the project’s performance. • Project Execution Discipline – Practices employed in the project execution phase that drove project performance. • Project Outcomes – Measures of project performance that resulted from the project’s drivers and execution discipline. 
2009 Angsi D Dev CLO (Final).pdf,"In addition to presenting project benchmarks, this report summarises Lessons Learned. The most critical lessons are discussed in detail in this report. Members of the project team supplied the information for this analysis in meetings held  on 25 May – 26 May 2009, in the project offices in Kuala Lumpur, Malaysia. Project team  members present at these meetings included Ismail B Ab Fatah (Project Manager), Dipak Mandal (Lead Reservoir), Samson Anthony (Geoscientist), Heru Hermawan (Drilling Superintendent), Seyri Anuwa (Drilling Engineer), Khairul Amiv (Drilling Engineer), Anas Ab Malek (Completion Engineer), Mohd Khairulsyah (Drilling Engineer), Norliza Salihin (Pipeline Engineer), Djohan Arifin (Senior Instrument and Control Engineer), Mohd Suzli (Mechanical and Piping Engineer), Suraiya Halim (Project Controller), Idras Ahmad (Facilities Manager), and Andrew Yeon Yi-Ren (Electrical Engineer). Trung Ghi and Edith Jimenez represented IPA. Although members of the project team  provided information, the interpretation and analysis are IPA’s and do not necessarily reflect the 1 PES is a registered trademark of IPA."
2009 Angsi D Dev CLO (Final).pdf,"2 IPA conducts the UCEC Metrics Program, which is the basis of the cost ratio analysis presented in this report. The purpose of the program is to provide members of the UCEC with metrics to support development of conceptual estimates, support reviews of contractor estimates, assess company metrics against industry norms, improve internal company tools and databases, and improve asset evaluation and concept development.  "
2009 Angsi D Dev CLO (Final).pdf,"CONFIDENTIAL iii IPA   views of those interviewed. For more information, contact Trung Ghi of IPA Australia at +61-3- 9458-7315 or tghi@ipaglobal.com or Edith Jiménez of IPA Australia at +61 (03) 9548-7324 or  ejimenez@ipaglobal.com. CONFIDENTIAL iv IPA EXECUTIVE SUMMARY This report evaluates the performance of the Angsi-D Development Project, which was  executed in Malaysia. Petronas Carigali Sdn. Bhd. (PCSB) and Exxon-Mobil Exploration & Production Malaysia Inc. (EMEPMI) are the joint venture (JV) partners with equal shares in the Angsi field. The Angsi field is being operated by PCSB under the main terms and conditions of  the gas production sharing contract (GPSC) signed in November 1998. The completed project  facilities will be operated by PCSB, except for the host tie-ins at Guntong-D (GuD), Irong Barat- A (IBA), Seligi-A (SeA), and the Onshore Slugcatcher (OSC), which will be operated by EMEPMI. The Angsi field is located approximately 165 km off the east coast of Peninsular Malaysia in a water depth of 69 m. The Angsi Development has completed three phases (Phase I, II, and III) since the 1990s. Phase IV is the current phased development for the Angsi field and  it includes the Angsi-D Satellite drilling platform (AnDP-D), the associated pipelines, and the  host tie-in to the Angsi-A complex."
2009 Angsi D Dev CLO (Final).pdf,"The Angsi-D Project’s objective was to develop oil and gas reserves in the southwest area of the field with monetization of 64 million barrels of oil equivalent (MMBOE). The development will provide incremental oil of 15 to 20 thousand stock tank barrels per day (kstbd) to existing production. The amount of recoverable gas is 128.6 Bcf, which is included in the reserves. The above recoverable volume will be depleted with 11 development wells and with 5 optional wells. The plan was to drill 10 oil producer wells, 3 gas injector wells, and 3 water injector wells.  "
2009 Angsi D Dev CLO (Final).pdf,"Angsi-D was developed as a satellite unmanned platform, and it was connected with three intrafield pipelines and controlled remotely from the AnPG-A platform. The first oil date was initially targeted for December 2008; however, this was not achieved until May 2009 because of the delay in awarding the platform contract and rig availability. The total estimated capital cost of the Angsi-D Development Project at sanction (23 November 2007) was RM1,267 million, including RM470 million for the AnDP-D drilling platform, RM334 million for three intrafield pipelines, and RM464 million for the drilling program. At project completion, the facilities (platform and intrafield pipelines) cost had decreased by 16 percent from the sanctioned cost estimate. The substantial decrease in cost was mainly due to the negotiated contract price of the Procure, Construct, and Commission (PCC) contract for the facilities scope after sanction. The drilling campaign has not yet been completed; however, the project team has forecasted that the drilling cost will not significantly deviate from the sanction estimate even after changes are made to the wells design. "
